"V1","V2"
-97.875,-97.8125
-97.8125,-97.75
-97.75,-97.6875
-97.6875,-97.625
-97.625,-97.5625
-97.5625,-97.5
-97.5,-97.4375
-97.4375,-97.375
-97.375,-97.3125
-97.3125,-97.25
-97.25,-97.1875
-97.1875,-97.125
-97.125,-97.0625
-97.0625,-97
-97,-96.9375
-96.9375,-96.875
-96.875,-96.8125
-96.8125,-96.75
-96.75,-96.6875
-96.6875,-96.625
-96.625,-96.5625
-96.5625,-96.5
-96.5,-96.4375
-96.4375,-96.375
-96.375,-96.3125
-96.3125,-96.25
-96.25,-96.1875
-96.1875,-96.125
-96.125,-96.0625
-96.0625,-96
-96,-95.9375
-95.9375,-95.875
-95.875,-95.8125
-95.8125,-95.75
-95.75,-95.6875
-95.6875,-95.625
-95.625,-95.5625
-95.5625,-95.5
-95.5,-95.4375
-95.4375,-95.375
-95.375,-95.3125
-95.3125,-95.25
-95.25,-95.1875
-95.1875,-95.125
-95.125,-95.0625
-95.0625,-95
-95,-94.9375
-94.9375,-94.875
-94.875,-94.8125
-94.8125,-94.75
-94.75,-94.6875
-94.6875,-94.625
-94.625,-94.5625
-94.5625,-94.5
-94.5,-94.4375
-94.4375,-94.375
-94.375,-94.3125
-94.3125,-94.25
-94.25,-94.1875
-94.1875,-94.125
-94.125,-94.0625
-94.0625,-94
-94,-93.9375
-93.9375,-93.875
-93.875,-93.8125
-93.8125,-93.75
-93.75,-93.6875
-93.6875,-93.625
-93.625,-93.5625
-93.5625,-93.5
-93.5,-93.4375
-93.4375,-93.375
-93.375,-93.3125
-93.3125,-93.25
-93.25,-93.1875
-93.1875,-93.125
-93.125,-93.0625
-93.0625,-93
-93,-92.9375
-92.9375,-92.875
-92.875,-92.8125
-92.8125,-92.75
-92.75,-92.6875
-92.6875,-92.625
-92.625,-92.5625
-92.5625,-92.5
-92.5,-92.4375
-92.4375,-92.375
-92.375,-92.3125
-92.3125,-92.25
-92.25,-92.1875
-92.1875,-92.125
-92.125,-92.0625
-92.0625,-92
-92,-91.9375
-91.9375,-91.875
-91.875,-91.8125
-91.8125,-91.75
-91.75,-91.6875
-91.6875,-91.625
-91.625,-91.5625
-91.5625,-91.5
-91.5,-91.4375
-91.4375,-91.375
-91.375,-91.3125
-91.3125,-91.25
-91.25,-91.1875
-91.1875,-91.125
-91.125,-91.0625
-91.0625,-91
-91,-90.9375
-90.9375,-90.875
-90.875,-90.8125
-90.8125,-90.75
-90.75,-90.6875
-90.6875,-90.625
-90.625,-90.5625
-90.5625,-90.5
-90.5,-90.4375
-90.4375,-90.375
-90.375,-90.3125
-90.3125,-90.25
-90.25,-90.1875
-90.1875,-90.125
-90.125,-90.0625
-90.0625,-90
-90,-89.9375
-89.9375,-89.875
-89.875,-89.8125
-89.8125,-89.75
-89.75,-89.6875
-89.6875,-89.625
-89.625,-89.5625
-89.5625,-89.5
-89.5,-89.4375
-89.4375,-89.375
-89.375,-89.3125
-89.3125,-89.25
-89.25,-89.1875
-89.1875,-89.125
-89.125,-89.0625
-89.0625,-89
-89,-88.9375
-88.9375,-88.875
-88.875,-88.8125
-88.8125,-88.75
-88.75,-88.6875
-88.6875,-88.625
-88.625,-88.5625
-88.5625,-88.5
-88.5,-88.4375
-88.4375,-88.375
-88.375,-88.3125
-88.3125,-88.25
-88.25,-88.1875
-88.1875,-88.125
-88.125,-88.0625
-88.0625,-88
-88,-87.9375
-87.9375,-87.875
-87.875,-87.8125
-87.8125,-87.75
-87.75,-87.6875
-87.6875,-87.625
-87.625,-87.5625
-87.5625,-87.5
-87.5,-87.4375
-87.4375,-87.375
-87.375,-87.3125
-87.3125,-87.25
-87.25,-87.1875
-87.1875,-87.125
-87.125,-87.0625
-87.0625,-87
-87,-86.9375
-86.9375,-86.875
-86.875,-86.8125
-86.8125,-86.75
-86.75,-86.6875
-86.6875,-86.625
-86.625,-86.5625
-86.5625,-86.5
-86.5,-86.4375
-86.4375,-86.375
-86.375,-86.3125
-86.3125,-86.25
-86.25,-86.1875
-86.1875,-86.125
-86.125,-86.0625
-86.0625,-86
-86,-85.9375
-85.9375,-85.875
-85.875,-85.8125
-85.8125,-85.75
-85.75,-85.6875
-85.6875,-85.625
-85.625,-85.5625
-85.5625,-85.5
-85.5,-85.4375
-85.4375,-85.375
-85.375,-85.3125
-85.3125,-85.25
-85.25,-85.1875
-85.1875,-85.125
-85.125,-85.0625
-85.0625,-85
-85,-84.9375
-84.9375,-84.875
-84.875,-84.8125
-84.8125,-84.75
-84.75,-84.6875
-84.6875,-84.625
-84.625,-84.5625
-84.5625,-84.5
-84.5,-84.4375
-84.4375,-84.375
-84.375,-84.3125
-84.3125,-84.25
-84.25,-84.1875
-84.1875,-84.125
-84.125,-84.0625
-84.0625,-84
-84,-83.9375
-83.9375,-83.875
-83.875,-83.8125
-83.8125,-83.75
-83.75,-83.6875
-83.6875,-83.625
-83.625,-83.5625
-83.5625,-83.5
-83.5,-83.4375
-83.4375,-83.375
-83.375,-83.3125
-83.3125,-83.25
-83.25,-83.1875
-83.1875,-83.125
-83.125,-83.0625
-83.0625,-83
-83,-82.9375
-82.9375,-82.875
-82.875,-82.8125
-82.8125,-82.75
-82.75,-82.6875
-82.6875,-82.625
-82.625,-82.5625
-82.5625,-82.5
-82.5,-82.4375
-82.4375,-82.375
-82.375,-82.3125
-82.3125,-82.25
-82.25,-82.1875
-82.1875,-82.125
-82.125,-82.0625
-82.0625,-82
-82,-81.9375
-81.9375,-81.875
-81.875,-81.8125
-81.8125,-81.75
-81.75,-81.6875
-81.6875,-81.625
-81.625,-81.5625
-81.5625,-81.5
-81.5,-81.4375
-81.4375,-81.375
-81.375,-81.3125
-81.3125,-81.25
-81.25,-81.1875
-81.1875,-81.125
-81.125,-81.0625
-81.0625,-81
-81,-80.9375
-80.9375,-80.875
-80.875,-80.8125
-80.8125,-80.75
-80.75,-80.6875
-80.6875,-80.625
-80.625,-80.5625
-80.5625,-80.5
-80.5,-80.4375
-80.4375,-80.375
-80.375,-80.3125
-80.3125,-80.25
-80.25,-80.1875
-80.1875,-80.125
-80.125,-80.0625
-80.0625,-80
-80,-79.9375
-79.9375,-79.875
-79.875,-79.8125
-79.8125,-79.75
-79.75,-79.6875
-79.6875,-79.625
-79.625,-79.5625
-79.5625,-79.5
-79.5,-79.4375
-79.4375,-79.375
-79.375,-79.3125
-79.3125,-79.25
-79.25,-79.1875
-79.1875,-79.125
-79.125,-79.0625
-79.0625,-79
-79,-78.9375
-78.9375,-78.875
-78.875,-78.8125
-78.8125,-78.75
-78.75,-78.6875
-78.6875,-78.625
-78.625,-78.5625
-78.5625,-78.5
-78.5,-78.4375
-78.4375,-78.375
-78.375,-78.3125
-78.3125,-78.25
-78.25,-78.1875
-78.1875,-78.125
-78.125,-78.0625
-78.0625,-78
-78,-77.9375
-77.9375,-77.875
-77.875,-77.8125
-77.8125,-77.75
-77.75,-77.6875
-77.6875,-77.625
-77.625,-77.5625
-77.5625,-77.5
-77.5,-77.4375
-77.4375,-77.375
-77.375,-77.3125
-77.3125,-77.25
-77.25,-77.1875
-77.1875,-77.125
-77.125,-77.0625
-77.0625,-77
-77,-76.9375
-76.9375,-76.875
