"fileName"	"varInFile"	"min"	"max"	"absMax"	"scale"	"scale.factorAtt"
"REGCM4_CNRM_evspsbl_2090to2099.nc"	"evspsbl"	-0.00015	0.000391	0.000391	"10000000"	"0.0000001"
"REGCM4_CNRM_hfss_1980to1989.nc"	"hfss"	-680.124878	1850.824341	1850.824341	"10"	"0.1"
"REGCM4_CNRM_hfss_1990to1999.nc"	"hfss"	-524.17218	2189.1521	2189.1521	"10"	"0.1"
"REGCM4_CNRM_hfss_2040to2049.nc"	"hfss"	-570.517639	1711.131958	1711.131958	"10"	"0.1"
"REGCM4_CNRM_hfss_2050to2059.nc"	"hfss"	-586.078369	1463.750732	1463.750732	"10"	"0.1"
"REGCM4_CNRM_hfss_2080to2089.nc"	"hfss"	-677.692505	1177.517212	1177.517212	"10"	"0.1"
"REGCM4_CNRM_hfss_2090to2099.nc"	"hfss"	-655.753113	1173.42981	1173.42981	"10"	"0.1"
"REGCM4_CNRM_mrso_1980to1989.nc"	"mrso"	2.686786	889.649658	889.649658	"10"	"0.1"
"REGCM4_CNRM_mrso_1990to1999.nc"	"mrso"	0.01	891.014099	891.014099	"10"	"0.1"
"REGCM4_CNRM_mrso_2040to2049.nc"	"mrso"	8.25352	931.891479	931.891479	"10"	"0.1"
"REGCM4_CNRM_mrso_2050to2059.nc"	"mrso"	7.406436	923.506226	923.506226	"10"	"0.1"
"REGCM4_CNRM_mrso_2080to2089.nc"	"mrso"	8.446667	943.079468	943.079468	"10"	"0.1"
"REGCM4_CNRM_mrso_2090to2099.nc"	"mrso"	8.690286	942.994446	942.994446	"10"	"0.1"
"REGCM4_CNRM_pr_1980to1989.nc"	"pr"	0	0.064933	0.064933	"100000"	"0.00001"
"REGCM4_CNRM_pr_1990to1999.nc"	"pr"	0	0.065673	0.065673	"100000"	"0.00001"
"REGCM4_CNRM_pr_2040to2049.nc"	"pr"	0	0.078453	0.078453	"100000"	"0.00001"
"REGCM4_CNRM_pr_2050to2059.nc"	"pr"	0	0.083753	0.083753	"100000"	"0.00001"
"REGCM4_CNRM_pr_2080to2089.nc"	"pr"	0	0.114402	0.114402	"100000"	"0.00001"
"REGCM4_CNRM_pr_2090to2099.nc"	"pr"	0	0.070209	0.070209	"100000"	"0.00001"
"REGCM4_CNRM_ps_1980to1989.nc"	"ps"	869.658508	1051.636963	1051.636963	"10"	"0.1"
"REGCM4_CNRM_ps_1990to1999.nc"	"ps"	873.425232	1046.954834	1046.954834	"10"	"0.1"
"REGCM4_CNRM_ps_2040to2049.nc"	"ps"	872.281799	1051.607544	1051.607544	"10"	"0.1"
"REGCM4_CNRM_ps_2050to2059.nc"	"ps"	871.356079	1049.433228	1049.433228	"10"	"0.1"
"REGCM4_CNRM_ps_2080to2089.nc"	"ps"	872.289795	1049.011841	1049.011841	"10"	"0.1"
"REGCM4_CNRM_ps_2090to2099.nc"	"ps"	859.777283	1046.901855	1046.901855	"10"	"0.1"
"REGCM4_CNRM_qas_1980to1989.nc"	"qas"	0	0.033237	0.033237	"100000"	"0.00001"
"REGCM4_CNRM_qas_1990to1999.nc"	"qas"	0	0.030617	0.030617	"1000000"	"0.000001"
"REGCM4_CNRM_qas_2040to2049.nc"	"qas"	0.000001	0.032561	0.032561	"1000000"	"0.000001"
"REGCM4_CNRM_qas_2050to2059.nc"	"qas"	0.000001	0.038132	0.038132	"100000"	"0.00001"
"REGCM4_CNRM_qas_2080to2089.nc"	"qas"	0.000002	0.036616	0.036616	"100000"	"0.00001"
"REGCM4_CNRM_qas_2090to2099.nc"	"qas"	0.000001	0.036987	0.036987	"100000"	"0.00001"
"REGCM4_CNRM_rsds_1980to1989.nc"	"rsds"	0	1098.002686	1098.002686	"10"	"0.1"
"REGCM4_CNRM_rsds_1990to1999.nc"	"rsds"	0	1107.074585	1107.074585	"10"	"0.1"
"REGCM4_CNRM_rsds_2040to2049.nc"	"rsds"	0	1098.742065	1098.742065	"10"	"0.1"
"REGCM4_CNRM_rsds_2050to2059.nc"	"rsds"	0	1095.544312	1095.544312	"10"	"0.1"
"REGCM4_CNRM_rsds_2080to2089.nc"	"rsds"	0	1097.029419	1097.029419	"10"	"0.1"
"REGCM4_CNRM_rsds_2090to2099.nc"	"rsds"	0	1093.245728	1093.245728	"10"	"0.1"
"REGCM4_CNRM_rsns_1980to1989.nc"	"rsns"	0	1040.007812	1040.007812	"10"	"0.1"
"REGCM4_CNRM_rsns_1990to1999.nc"	"rsns"	0	1041.064453	1041.064453	"10"	"0.1"
"REGCM4_CNRM_rsns_2040to2049.nc"	"rsns"	0	1037.171143	1037.171143	"10"	"0.1"
"REGCM4_CNRM_rsns_2050to2059.nc"	"rsns"	0	1034.106689	1034.106689	"10"	"0.1"
"REGCM4_CNRM_rsns_2080to2089.nc"	"rsns"	0	1033.793823	1033.793823	"10"	"0.1"
"REGCM4_CNRM_rsns_2090to2099.nc"	"rsns"	0	1034.338867	1034.338867	"10"	"0.1"
"REGCM4_CNRM_snv_1980to1989.nc"	"snv"	0	692.226562	692.226562	"10"	"0.1"
"REGCM4_CNRM_snv_1990to1999.nc"	"snv"	0	713.868774	713.868774	"10"	"0.1"
"REGCM4_CNRM_snv_2040to2049.nc"	"snv"	0	684.841003	684.841003	"10"	"0.1"
"REGCM4_CNRM_snv_2050to2059.nc"	"snv"	0	943.09729	943.09729	"10"	"0.1"
"REGCM4_CNRM_snv_2080to2089.nc"	"snv"	0	931.320435	931.320435	"10"	"0.1"
"REGCM4_CNRM_snv_2090to2099.nc"	"snv"	0	861.694885	861.694885	"10"	"0.1"
"REGCM4_CNRM_tas_1980to1989.nc"	"tas"	214.943527	320.441223	320.441223	"100"	"0.01"
"REGCM4_CNRM_tas_1990to1999.nc"	"tas"	217.473251	320.414062	320.414062	"100"	"0.01"
"REGCM4_CNRM_tas_2040to2049.nc"	"tas"	224.130234	320.521545	320.521545	"100"	"0.01"
"REGCM4_CNRM_tas_2050to2059.nc"	"tas"	227.982559	322.166504	322.166504	"100"	"0.01"
"REGCM4_CNRM_tas_2080to2089.nc"	"tas"	229.841843	322.826752	322.826752	"100"	"0.01"
"REGCM4_CNRM_tas_2090to2099.nc"	"tas"	231.140472	324.378021	324.378021	"100"	"0.01"
"REGCM4_CNRM_uas_1980to1989.nc"	"uas"	-33.053131	32.121204	32.121204	"1000"	"0.001"
"REGCM4_CNRM_uas_1990to1999.nc"	"uas"	-32.709782	34.856987	34.856987	"100"	"0.01"
"REGCM4_CNRM_uas_2040to2049.nc"	"uas"	-32.402256	35.060719	35.060719	"100"	"0.01"
"REGCM4_CNRM_uas_2050to2059.nc"	"uas"	-33.466125	38.0163	38.0163	"100"	"0.01"
"REGCM4_CNRM_uas_2080to2089.nc"	"uas"	-32.923592	37.255768	37.255768	"100"	"0.01"
"REGCM4_CNRM_uas_2090to2099.nc"	"uas"	-35.184551	31.497849	31.497849	"1000"	"0.001"
"REGCM4_CNRM_vas_1980to1989.nc"	"vas"	-33.419674	36.35424	36.35424	"100"	"0.01"
"REGCM4_CNRM_vas_1990to1999.nc"	"vas"	-32.337559	35.332504	35.332504	"100"	"0.01"
"REGCM4_CNRM_vas_2040to2049.nc"	"vas"	-35.240314	38.631729	38.631729	"100"	"0.01"
"REGCM4_CNRM_vas_2050to2059.nc"	"vas"	-33.953926	36.549339	36.549339	"100"	"0.01"
"REGCM4_CNRM_vas_2080to2089.nc"	"vas"	-35.316711	38.666012	38.666012	"100"	"0.01"
"REGCM4_CNRM_vas_2090to2099.nc"	"vas"	-32.253746	40.077545	40.077545	"100"	"0.01"
"REGCM4_GFDL_evspsbl_1980to1989.nc"	"evspsbl"	-0.000178	0.000363	0.000363	"10000000"	"0.0000001"
"REGCM4_GFDL_evspsbl_1990to1999.nc"	"evspsbl"	-0.000146	0.000356	0.000356	"10000000"	"0.0000001"
"REGCM4_GFDL_evspsbl_2040to2049.nc"	"evspsbl"	-0.000168	0.000374	0.000374	"10000000"	"0.0000001"
"REGCM4_GFDL_evspsbl_2050to2059.nc"	"evspsbl"	-0.000164	0.000379	0.000379	"10000000"	"0.0000001"
"REGCM4_GFDL_evspsbl_2080to2089.nc"	"evspsbl"	-0.000181	0.000366	0.000366	"10000000"	"0.0000001"
"REGCM4_GFDL_evspsbl_2090to2099.nc"	"evspsbl"	-0.000179	0.00038	0.00038	"10000000"	"0.0000001"
"REGCM4_GFDL_hfss_1980to1989.nc"	"hfss"	-515.134766	1672.773926	1672.773926	"10"	"0.1"
"REGCM4_GFDL_hfss_1990to1999.nc"	"hfss"	-532.508606	1739.407837	1739.407837	"10"	"0.1"
"REGCM4_GFDL_hfss_2040to2049.nc"	"hfss"	-632.799255	1573.722778	1573.722778	"10"	"0.1"
"REGCM4_GFDL_hfss_2050to2059.nc"	"hfss"	-620.248474	1543.090454	1543.090454	"10"	"0.1"
"REGCM4_GFDL_hfss_2080to2089.nc"	"hfss"	-631.366882	1304.912231	1304.912231	"10"	"0.1"
"REGCM4_GFDL_hfss_2090to2099.nc"	"hfss"	-665.324768	1673.137207	1673.137207	"10"	"0.1"
"REGCM4_GFDL_mrso_1980to1989.nc"	"mrso"	0.648919	897.320801	897.320801	"10"	"0.1"
"REGCM4_GFDL_mrso_1990to1999.nc"	"mrso"	1.771212	900.057434	900.057434	"10"	"0.1"
"REGCM4_GFDL_mrso_2040to2049.nc"	"mrso"	1.998408	889.628479	889.628479	"10"	"0.1"
"REGCM4_GFDL_mrso_2050to2059.nc"	"mrso"	8.620827	902.367798	902.367798	"10"	"0.1"
"REGCM4_GFDL_mrso_2080to2089.nc"	"mrso"	8.605814	936.335571	936.335571	"10"	"0.1"
"REGCM4_GFDL_mrso_2090to2099.nc"	"mrso"	8.596307	912.078796	912.078796	"10"	"0.1"
"REGCM4_GFDL_pr_1980to1989.nc"	"pr"	0	0.051861	0.051861	"100000"	"0.00001"
"REGCM4_GFDL_pr_1990to1999.nc"	"pr"	0	0.053626	0.053626	"100000"	"0.00001"
"REGCM4_GFDL_pr_2040to2049.nc"	"pr"	0	0.068497	0.068497	"100000"	"0.00001"
"REGCM4_GFDL_pr_2050to2059.nc"	"pr"	0	0.073061	0.073061	"100000"	"0.00001"
"REGCM4_GFDL_pr_2080to2089.nc"	"pr"	0	0.068108	0.068108	"100000"	"0.00001"
"REGCM4_GFDL_pr_2090to2099.nc"	"pr"	0	0.08138	0.08138	"100000"	"0.00001"
"REGCM4_GFDL_ps_1980to1989.nc"	"ps"	873.285034	1058.12793	1058.12793	"10"	"0.1"
"REGCM4_GFDL_ps_1990to1999.nc"	"ps"	871.494385	1053.658447	1053.658447	"10"	"0.1"
"REGCM4_GFDL_ps_2040to2049.nc"	"ps"	861.169373	1051.671387	1051.671387	"10"	"0.1"
"REGCM4_GFDL_ps_2050to2059.nc"	"ps"	869.170898	1055.039673	1055.039673	"10"	"0.1"
"REGCM4_GFDL_ps_2080to2089.nc"	"ps"	873.629761	1055.932495	1055.932495	"10"	"0.1"
"REGCM4_GFDL_ps_2090to2099.nc"	"ps"	868.877808	1053.792969	1053.792969	"10"	"0.1"
"REGCM4_GFDL_qas_1980to1989.nc"	"qas"	0	0.032632	0.032632	"1000000"	"0.000001"
"REGCM4_GFDL_qas_1990to1999.nc"	"qas"	0	0.031361	0.031361	"1000000"	"0.000001"
"REGCM4_GFDL_qas_2040to2049.nc"	"qas"	0.000001	0.034277	0.034277	"100000"	"0.00001"
"REGCM4_GFDL_qas_2050to2059.nc"	"qas"	0.000001	0.033676	0.033676	"100000"	"0.00001"
"REGCM4_GFDL_qas_2080to2089.nc"	"qas"	0.000001	0.037797	0.037797	"100000"	"0.00001"
"REGCM4_GFDL_qas_2090to2099.nc"	"qas"	0.000001	0.038547	0.038547	"100000"	"0.00001"
"REGCM4_GFDL_rsds_1980to1989.nc"	"rsds"	0	1103.581421	1103.581421	"10"	"0.1"
"REGCM4_GFDL_rsds_1990to1999.nc"	"rsds"	0	1106.575317	1106.575317	"10"	"0.1"
"REGCM4_GFDL_rsds_2040to2049.nc"	"rsds"	0	1113.022217	1113.022217	"10"	"0.1"
"REGCM4_GFDL_rsds_2050to2059.nc"	"rsds"	0	1096.481201	1096.481201	"10"	"0.1"
"REGCM4_GFDL_rsds_2080to2089.nc"	"rsds"	0	1094.49585	1094.49585	"10"	"0.1"
"REGCM4_GFDL_rsds_2090to2099.nc"	"rsds"	0	1096.929321	1096.929321	"10"	"0.1"
"REGCM4_GFDL_rsns_1980to1989.nc"	"rsns"	0	1048.762939	1048.762939	"10"	"0.1"
"REGCM4_GFDL_rsns_1990to1999.nc"	"rsns"	0	1056.455688	1056.455688	"10"	"0.1"
"REGCM4_GFDL_rsns_2040to2049.nc"	"rsns"	0	1038.931763	1038.931763	"10"	"0.1"
"REGCM4_GFDL_rsns_2050to2059.nc"	"rsns"	0	1040.17749	1040.17749	"10"	"0.1"
"REGCM4_GFDL_rsns_2080to2089.nc"	"rsns"	0	1031.866943	1031.866943	"10"	"0.1"
"REGCM4_GFDL_rsns_2090to2099.nc"	"rsns"	0	1029.807739	1029.807739	"10"	"0.1"
"REGCM4_GFDL_snv_1980to1989.nc"	"snv"	0	931.310486	931.310486	"10"	"0.1"
"REGCM4_GFDL_snv_1990to1999.nc"	"snv"	0	914.991882	914.991882	"10"	"0.1"
"REGCM4_GFDL_snv_2040to2049.nc"	"snv"	0	907.030518	907.030518	"10"	"0.1"
"REGCM4_GFDL_snv_2050to2059.nc"	"snv"	0	910.843018	910.843018	"10"	"0.1"
