"fileName"      "varInFile"     "min"   "max"   "absMax"        "scale" "scale.factorAtt"
"REGCM4_IPSL_vas_1990to1999.nc"	"vas"	-36.228165	37.76025	37.76025	"100"	"0.01"
"REGCM4_IPSL_vas_2040to2049.nc"	"vas"	-32.440102	37.055851	37.055851	"100"	"0.01"
"REGCM4_IPSL_vas_2050to2059.nc"	"vas"	-39.938038	35.405254	35.405254	"100"	"0.01"
"REGCM4_IPSL_vas_2080to2089.nc"	"vas"	-35.059643	36.450691	36.450691	"100"	"0.01"
"REGCM4_IPSL_vas_2090to2099.nc"	"vas"	-36.725418	33.834713	33.834713	"100"	"0.01"
"REGCM4_MIROC_evspsbl_1980to1989.nc"	"evspsbl"	-0.000174	0.000439	0.000439	"10000000"	"0.0000001"
"REGCM4_MIROC_evspsbl_1990to1999.nc"	"evspsbl"	-0.000136	0.000391	0.000391	"10000000"	"0.0000001"
"REGCM4_MIROC_evspsbl_2040to2049.nc"	"evspsbl"	-0.000156	0.000363	0.000363	"10000000"	"0.0000001"
"REGCM4_MIROC_evspsbl_2050to2059.nc"	"evspsbl"	-0.000147	0.000402	0.000402	"10000000"	"0.0000001"
"REGCM4_MIROC_evspsbl_2080to2089.nc"	"evspsbl"	-0.000148	0.000406	0.000406	"10000000"	"0.0000001"
"REGCM4_MIROC_evspsbl_2090to2099.nc"	"evspsbl"	-0.000172	0.000387	0.000387	"10000000"	"0.0000001"
"REGCM4_MIROC_hfss_1980to1989.nc"	"hfss"	-553.869263	2169.967041	2169.967041	"10"	"0.1"
"REGCM4_MIROC_hfss_1990to1999.nc"	"hfss"	-493.009094	2199.762207	2199.762207	"10"	"0.1"
"REGCM4_MIROC_hfss_2040to2049.nc"	"hfss"	-609.317505	1647.205444	1647.205444	"10"	"0.1"
"REGCM4_MIROC_hfss_2050to2059.nc"	"hfss"	-670.515137	1494.603149	1494.603149	"10"	"0.1"
"REGCM4_MIROC_hfss_2080to2089.nc"	"hfss"	-664.105835	1391.64209	1391.64209	"10"	"0.1"
"REGCM4_MIROC_hfss_2090to2099.nc"	"hfss"	-659.185791	1049.764404	1049.764404	"10"	"0.1"
"REGCM4_MIROC_mrso_1980to1989.nc"	"mrso"	6.697194	897.783997	897.783997	"10"	"0.1"
"REGCM4_MIROC_mrso_1990to1999.nc"	"mrso"	3.725737	913.534668	913.534668	"10"	"0.1"
"REGCM4_MIROC_mrso_2040to2049.nc"	"mrso"	8.575938	903.813965	903.813965	"10"	"0.1"
"REGCM4_MIROC_mrso_2050to2059.nc"	"mrso"	8.583204	928.126282	928.126282	"10"	"0.1"
