pr_day_I35prp1-QDM-A24D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP4.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A24D01K00
pr_day_I35prp1-QDM-A24L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP4.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A24L01K00
pr_day_I35prp1-QDM-A24P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP4.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A24P01K00
pr_day_I35prp1-QDM-A28D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP8.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A28D01K00
pr_day_I35prp1-QDM-A28L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP8.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A28L01K00
pr_day_I35prp1-QDM-A28P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	MIROC5, RCP8.5 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A28P01K00
pr_day_I35prp1-QDM-A30D01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MPI-ESM-LR, historical downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A30D01K00
pr_day_I35prp1-QDM-A30L01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MPI-ESM-LR, historical downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A30L01K00
pr_day_I35prp1-QDM-A30P01K00_historical_r1i1p1_I35Land_19810101-20051231.nc	MPI-ESM-LR, historical downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A30P01K00
pr_day_I35prp1-QDM-A32D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	MPI-ESM-LR, RCP2.6 downscaled by FUDGE hazelnut-20170411 I35prp1-QDM-A32D01K00
